year,month,total_sales,time_index,sales_last_month,predicted_sales
2016,10,40325.11,2,134.97,100644.63853593702
2016,12,10.9,3,40325.11,141471.34647119278
2017,1,111798.36,4,10.9,141328.64862709783
2017,2,234223.4,5,111798.36,218591.89267243983
2017,3,359198.85,6,234223.4,301268.6992337242
2017,4,340669.68,7,359198.85,385243.4329529039
2017,5,489159.25,8,340669.68,396187.34277261083
2017,6,421923.37,9,489159.25,492128.62890572037
2017,7,481604.52,10,421923.37,478285.24504294724
2017,8,554699.7,11,481604.52,529031.1076293415
2017,9,607399.67,12,554699.7,586603.4937291408
2017,10,648247.65,13,607399.67,633796.5694631638
2017,11,987648.0700000001,14,648247.65,674958.0582381865
2017,12,726033.1900000001,15,987648.0700000001,868055.635693824
2018,1,924645.0,16,726033.1900000001,755290.9870051823
2018,2,826437.13,17,924645.0,876739.9430856922
2018,3,953356.25,18,826437.13,847134.6280216363
2018,4,973534.09,19,953356.25,932098.5133199687
2018,5,977544.6900000001,20,973534.09,962740.7773179949
2018,6,855591.97,21,977544.6900000001,985155.3838553729
2018,7,867486.47,22,855591.97,943466.095753589
2018,8,838576.64,23,867486.47,969892.8916723335
