time_index,sales_last_month,total_sales,data_type
2,134.97,40325.11,Actual
3,40325.11,10.9,Actual
4,10.9,111798.36,Actual
5,111798.36,234223.4,Actual
6,234223.4,359198.85,Actual
7,359198.85,340669.68,Actual
8,340669.68,489159.25,Actual
9,489159.25,421923.37,Actual
10,421923.37,481604.52,Actual
11,481604.52,554699.7,Actual
12,554699.7,607399.67,Actual
13,607399.67,648247.65,Actual
14,648247.65,987648.07,Actual
15,987648.07,726033.1900000001,Actual
16,726033.1900000001,924645.0,Actual
17,924645.0,826437.13,Actual
18,826437.13,953356.25,Actual
19,953356.25,973534.09,Actual
20,973534.09,977544.69,Actual
21,977544.69,855591.97,Actual
22,855591.97,867486.47,Actual
23,867486.47,838576.64,Actual
24,838576.64,879965.8844901999,Forecast
25,879965.8844901999,916767.3292065604,Forecast
26,916767.3292065604,949540.9156434471,Forecast
27,949540.9156434471,978778.2443709113,Forecast
28,978778.2443709113,1004910.9160524269,Forecast
29,1004910.9160524269,1028317.8544404459,Forecast
